fiscal_year,jurisdiction,has_observed_data,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2022,Florida,yes,33273631634,20289973.99,88334626.60,142
2022,Georgia,yes,14876090399,5566817.36,14632971.56,43
2022,Hawaii,yes,3102654280,1787174.92,231744.84,15
2022,Idaho,yes,3330143462,1099588.69,654423.23,10
2022,Illinois,yes,26972593207,8893073.65,10404221.10,35
2022,Indiana,yes,17322051022,7169412.99,19487614.79,56
2022,Iowa,yes,6776825856,857844.66,2426166.69,9
2022,Kansas,yes,4551471796,2306311.21,1552535.01,19
2022,Kentucky,yes,14876634041,4938246.76,15408763,33
2022,Louisiana,yes,15039040891,8422965.25,86430507.25,67
