fiscal_year,jurisdiction,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2022,Alaska,2592461510,1830614.14,87898.32,12
2022,Arizona,20588622069,4222034.03,7727116.33,27
2022,Arkansas,8975474497,3378171,42554066.21,22
2022,California,125017780154,54820182.75,108517300.61,220
2022,Colorado,12424415086,2626018.05,5940578.60,14
2022,Connecticut,10025149152,2573386.26,27513822.65,12
2022,Delaware,3239518726,2365514.48,1231771.69,17
2022,Florida,33273631634,20289973.99,88334626.60,142
2022,Georgia,14876090399,5566817.36,14632971.56,43
2022,Hawaii,3102654280,1787174.92,231744.84,15
2022,Idaho,3330143462,1099588.69,654423.23,10
2022,Illinois,26972593207,8893073.65,10404221.10,35
2022,Indiana,17322051022,7169412.99,19487614.79,56
2022,Iowa,6776825856,857844.66,2426166.69,9
2022,Kansas,4551471796,2306311.21,1552535.01,19
2022,Kentucky,14876634041,4938246.76,15408763,33
2022,Louisiana,15039040891,8422965.25,86430507.25,67
2022,Maine,3952360568,1432530.56,688592.08,9
2022,Maryland,14844102111,4975497.52,3953857.77,36
2022,Massachusetts,22023428461,6119401.35,71275660.43,32
2022,Michigan,21695810626,5863143,22964705.78,30
2022,Minnesota,16896991072,4087300.47,12560408.87,30
2022,Mississippi,6141810881,3952955,4912243.23,38
2022,Missouri,13440321022,2177784.64,5262577.44,23
2022,Montana,2448226101,899696.95,566101.72,9
2022,Nebraska,3481296640,1399477.09,1496685.90,11
2022,Nevada,5271042050,2540574.85,16422091.36,19
2022,New Hampshire,2611767747,738227.11,396472.42,8
2022,New Jersey,21885952455,5762424.96,6260273,30
2022,New Mexico,8545105920,3291227.24,3270639.11,22
2022,New York,82564771704,53919799.99,57973971.31,264
2022,North Carolina,19467101160,6803332.04,33859198.07,48
2022,North Dakota,1621017419,808200,490239.62,6
2022,Ohio,31059865818,15964276.98,9342652.81,101
2022,Oklahoma,7745616099,2635281.53,6445538.50,25
2022,Oregon,13695755260,3369512.29,4464488.35,17
2022,Pennsylvania,42294925403,10680852.14,31625624.50,70
2022,Rhode Island,3583681400,1323070.04,922763.73,10
2022,South Carolina,7926296721,1946229.43,4990656.95,18
2022,South Dakota,1320070094,549756.32,707351.76,5
2022,Tennessee,12083213396,8376147.02,5762200.85,57
2022,Texas,56569079099,23632974.75,219876847.53,153
2022,Utah,4397543014,2706184,1515408.01,15
2022,Vermont,2049357500,1335238.28,503529,7
2022,Virginia,18262708315,13250089.13,20434349.64,93
2022,Washington,18213259692,8985952.22,47833748.81,56
2022,West Virginia,5392745508,2149481.35,5138856.02,21
2022,Wisconsin,11953068255,1672154.98,7218161,11
2022,Wyoming,743710195,459792.59,1136378.73,4
2023,Alabama,8088717204,1553830,10556172.07,8
2023,Alaska,2705978030,2125299,38520.95,12
2023,Arizona,22499522881,4875444,7343117.27,30
2023,Arkansas,9132921635,3154983,2618911.74,18
2023,California,130133324961,66345930,362823882.01,236
2023,Colorado,13646983776,3354027,2907717.37,22
2023,Connecticut,10738157192,2874704,18520950.54,13
2023,Delaware,3467165402,2384008,727526.77,18
2023,Florida,34841609995,20493691,18323053.04,145
2023,Georgia,16608700777,5651368,20597671.59,44
2023,Hawaii,3106645531,2074191,11084423.60,16
2023,Idaho,2920524660,1150784,261465.23,9
2023,Illinois,33306700578,6385839,12455013.21,26
2023,Indiana,17819794934,7997841,65930619.57,59
2023,Iowa,6927817062,991331,1676464.53,9
2023,Kansas,5436508176,2426237,170106.34,17
2023,Kentucky,16642070989,4498011,21333957.41,32
2023,Louisiana,16628861150,9276078,15263524.40,61
2023,Maine,4286591113,1494775,206276.11,9
2023,Maryland,17552005124,5610088,2086415.76,36
2023,Massachusetts,24487922260,6164639,23375309.29,37
2023,Michigan,23741817895,6113464,29764369.11,34
2023,Minnesota,19113079015,4454431,5973588.68,30
2023,Mississippi,6547605903,3992436,17842771.95,34
2023,Missouri,16357682592,2421377,10086586.17,19
2023,Montana,2445041437,988842,500294.40,9
2023,Nebraska,3930854013,1429798,714102.99,10
